"Municipality","Constituency","Party","Name","Name_hanja","Gender","Date_of_birth","Age","Address","Occupation","Education","Career","Votes","Votes_share","PR_Ranking","MRPR"
NA,NA,"더불어민주연합","정혜경","鄭惠曔","여","1975-10-19",48,"경상남도 창원시 의창구 소봉로7번길","정당인","경상대학교 법학과 졸업","(전)진보당 경남도당 부위원장(전)전국학교비정규직노동조합 경남지부 정치국장",NA,NA,5,"PR"
NA,NA,"더불어민주연합","용혜인","龍慧仁","여","1990-04-12",33,"서울특별시 영등포구 양평로30길","국회의원","경희대학교 정치외교학과 졸업","(현)21대 국회의원(전)기본소득당 상임대표",NA,NA,6,"PR"
NA,NA,"더불어민주연합","오세희","吳世姬","여","1955-12-27",68,"서울특별시 성동구 고산자로2길","더수빈스 대표","한성대학교 예술대학원 의상학석사","(전)소상공인연합회 회장(전)(사)한국메이크업미용사회중앙회회장",NA,NA,7,"PR"
NA,NA,"더불어민주연합","박홍배","朴弘培","남","1972-10-09",51,"서울특별시 양천구 목동서로2길","노동운동가","고려대학교 경영전문대학원 경영학석사","(현)한국노총 전국금융산업노동조합 위원장(전)더불어민주당 전국노동위원회 위원장",NA,NA,8,"PR"
NA,NA,"더불어민주연합","강유정","姜由楨","여","1975-12-15",48,"서울특별시 서초구 신반포로15길","대학 교수","고려대학교 대학원 문학박사","(현)강남대학교 교수(전)한국영화평론가협회 출판이사",NA,NA,9,"PR"
NA,NA,"더불어민주연합","한창민","韓昌旼","남","1973-07-22",50,"대전광역시 동구 동부로73번길","정당인","공주대학교 교육대학원 교육학석사","(전)사회민주당 공동대표(전)노무현재단 경영기획본부장",NA,NA,10,"PR"
NA,NA,"더불어민주연합","전종덕","全鍾德","여","1971-11-29",52,"전라남도 화순군 화순읍 칠충로","간호사","조선대학교 보건대학원 보건학석사","(전)제7대 전라남도의회의원(전)민주노총 사무총장",NA,NA,11,"PR"
NA,NA,"더불어민주연합","김윤","金輪","남","1966-05-24",57,"서울특별시 서초구 서초중앙로","대학교수","서울대학교 대학원 의학박사","(현)서울대학교 의대 교수(전)건강보험심사평가원 심사평가연구소 소장",NA,NA,12,"PR"
NA,NA,"더불어민주연합","임미애","林美愛","여","1966-06-23",57,"경상북도 의성군 의성읍 충효로","농업","이화여자대학교 경제학과 졸업","(전)더불어민주당 경북도당 위원장(전)제8회 지방선거 민주당 경북도지사 후보",NA,NA,13,"PR"
NA,NA,"더불어민주연합","정을호","鄭乙虎","남","1971-01-14",53,"서울특별시 강서구 마곡중앙1로","정당인","중앙대학교 경영학과 졸업","(현)더불어민주연합 사무총장(전)민주당 중앙당 총무조정국장",NA,NA,14,"PR"
NA,NA,"국민의미래","최보윤","崔寶允","여","1978-04-27",45,"서울특별시 서초구 서초중앙로22길","법무법인 대륜 변호사","서울대학교 법과대학 법학과 졸업","(현)한국장애인고용공단 인권경영위원(현)법무부인권정책자문단 자문위원",NA,NA,1,"PR"
NA,NA,"국민의미래","박충권","朴沖綣","남","1986-01-14",38,"충청남도 당진시 대호만로","현대제철 책임연구원","서울대학교 대학원 공학박사","(현)현대제철 연구개발본부 책임연구원(전)국방대학 화학공학과 졸업(2003.4.1. ~ 2007.11.30.)",NA,NA,2,"PR"
NA,NA,"국민의미래","최수진","崔秀珍","여","1968-04-16",55,"경기도 성남시 분당구 정자일로","한국공학대학교 특임교수","경희대학교 대학원 이학박사","(현)한국공학대학교 특임교수(전)OCI(주) 부사장",NA,NA,3,"PR"
