"Municipality","Constituency","Party_No","Name","Name_hanja","Gender","Female_dm","Male_dm","Party","Date_of_birth","Age","Address","Occupation","Education","Career","Votes","Votes_share","Win_dm"
"경기도","여주시양평군","2","김선교","金善敎","남",0,1,"국민의힘","1960-09-18",63,"경기도 양평군 옥천면 서촌길","정당인","고려대학교 정책대학원 졸업(경제학석사)","(전) 여주시·양평군 국회의원(전) 양평군수(민선4,5,6기)",74916,53.58,1
"강원특별자치도","춘천시철원군화천군양구군갑","1","허영","許榮","남",0,1,"더불어민주당","1970-03-29",54,"강원특별자치도 춘천시 방송길","국회의원","고려대학교 정책대학원 석사과정 국제관계학과 수료","(현)춘천시철원군화천군양구군갑 국회의원(전)더불어민주당 강원도당위원장",70273,53.44,1
"강원특별자치도","춘천시철원군화천군양구군갑","2","김혜란","金惠蘭","여",1,0,"국민의힘","1976-05-25",47,"강원특별자치도 춘천시 안마산로","변호사","서울대학교 공과대학 전기공학부(전기공학전공) 졸업","(전)서울중앙지방법원 판사(전)서울가정법원 판사",58542,44.52,0
"강원특별자치도","춘천시철원군화천군양구군갑","6","조일현","曺馹鉉","남",0,1,"새로운미래","1955-07-15",68,"강원특별자치도 홍천군 홍천읍 남산마을길","정당인","북경대학 대학원 졸업(법학박사)(2001.09~2003.12)","(전)제14대 총선 전국최연소 국회의원(전)제17대 국회 건설교통위원장",1402,1.06,0
"강원특별자치도","춘천시철원군화천군양구군갑","7","오정규","吳定圭","남",0,1,"무소속","1967-05-17",56,"강원특별자치도 춘천시 동내면 거두택지길44번길","자영업","전남대학교 정밀화학과 졸업","(현)전기 기술사(전)한국공학교육인증원 대학평가위원",1278,0.97,0
"강원특별자치도","춘천시철원군화천군양구군을","1","전성","全聖","남",0,1,"더불어민주당","1958-10-17",65,"강원특별자치도 철원군 갈말읍 명성로139번길","변호사","고려대학교 정치외교학과 졸업","(현)변호사 전성 법률사무소 대표변호사(전)더불어민주당 춘천시철원군화천군양구군을 지역위원장",33774,41.46,0
"강원특별자치도","춘천시철원군화천군양구군을","2","한기호","韓起鎬","남",0,1,"국민의힘","1952-08-13",71,"강원특별자치도 철원군 갈말읍 군탄로8번길","국회의원","육군사관학교 졸업","(현)국회 국방위원회 위원장(전)국민의힘 사무총장",43935,53.93,1
"강원특별자치도","춘천시철원군화천군양구군을","7","이호범","李浩範","남",0,1,"무소속","1976-07-22",47,"강원특별자치도 춘천시 우두1길","무직","강원대학교 일반대학원 신문방송학과 졸업(언론학박사)","(현)한국노동조합총연맹 전문위원(전)강원도청 공무원 노동조합 위원장",3743,4.59,0
"강원특별자치도","원주시갑","1","원창묵","元昌默","남",0,1,"더불어민주당","1960-12-10",63,"강원특별자치도 원주시 봉화로","건축사","중앙대학교 건설대학원 도시공학과 졸업(공학석사)","(전)원주시장(민선5,6,7기)(전)원주시의회의원",50534,49.28,0
"강원특별자치도","원주시갑","2","박정하","朴正河","남",0,1,"국민의힘","1966-09-26",57,"강원특별자치도 원주시 지정면 가곡로","국회의원","고려대학교대학원 석사과정 행정학과 행정이론전공 수료","(현)원주시갑 국회의원(현)국민의힘 수석대변인",52002,50.71,1
"강원특별자치도","원주시을","1","송기헌","宋基憲","남",0,1,"더불어민주당","1963-10-02",60,"강원특별자치도 원주시 소초면 범골길","국회의원","서울대학교 법과대학 공법학과 졸업","(전)서울지방검찰청 검사(현)국회 법제사법위원회 위원",52920,54.08,1
"강원특별자치도","원주시을","2","김완섭","金琓燮","남",0,1,"국민의힘","1968-04-19",55,"강원특별자치도 원주시 늘품로","정당인","서울대학교 행정대학원 졸업(행정학석사)","(전)기획재정부 제2차관(전)기획재정부 예산실장",44919,45.91,0
"강원특별자치도","강릉시","1","김중남","金重男","남",0,1,"더불어민주당","1962-08-10",61,"강원특별자치도 강릉시 임영로179번길","정당인","강릉원주대학교 일반대학원 행정학과 박사과정 수료","(현) 더불어민주당 탄소중립위원회 부위원장(현) 더불어민주당 부대변인",51731,43.34,0
"강원특별자치도","강릉시","2","권성동","權性東","남",0,1,"국민의힘","1960-04-29",63,"강원특별자치도 강릉시 화부산로99번길","국회의원","중앙대학교 법과대학 법학과 졸업","(전) 국회 법제사법위원장(전) 국민의힘 원내대표",64743,54.24,1
"강원특별자치도","강릉시","7","이영랑","李英娘","여",1,0,"개혁신당","1976-04-09",48,"강원특별자치도 강릉시 선수촌로","이미지컨설턴트","강릉원주대학교 일반대학원 박사과정 교육학과 중퇴(2013. 3. 1.~2016. 3. 29.)","(현)개혁신당 당대표 정무특보(현)강릉원주대학교 평생교육원 강사",2882,2.41,0
"강원특별자치도","동해시태백시삼척시정선군","1","한호연","韓皓淵","남",0,1,"더불어민주당","1965-11-11",58,"강원특별자치도 동해시 발한천윗길","정당인","연세대학교 상경대학 경제학과 졸업","(전)소방산업공제조합 이사장(현)더불어민주당 정책위원회 부의장",46674,36.48,0
"강원특별자치도","동해시태백시삼척시정선군","2","이철규","李喆圭","남",0,1,"국민의힘","1957-09-20",66,"강원특별자치도 동해시 평원로","국회의원","한양대학교 행정대학원 졸업(행정학석사)","(현)국회의원(제20·21대)(현)국민의힘 인재영입위원회 공동위원장",78325,61.22,1
"강원특별자치도","동해시태백시삼척시정선군","7","류성호","柳成昊","남",0,1,"개혁신당","1959-11-08",64,"강원특별자치도 태백시 고원로","정당인","동국대학교 행정대학원 졸업(행정학 석사)","(전)태백경찰서장(현)개혁신당 당대표 정무특보",2932,2.29,0
"강원특별자치도","속초시인제군고성군양양군","1","김도균","金度均","남",0,1,"더불어민주당","1965-07-14",58,"강원특별자치도 속초시 장재터마을2길","더불어민주당 국방대변인","경기대학교 정치전문대학원 외교안보학과 박사과정 수료","(전) 수도방위사령관 (전) 청와대 국방개혁 비서관",43276,44.15,0
"강원특별자치도","속초시인제군고성군양양군","2","이양수","李亮壽","남",0,1,"국민의힘","1967-08-15",56,"강원특별자치도 속초시 소평로","국회의원","고려대학교 불어불문학과 졸업","(현) 국회의원(현) 국민의힘 원내수석부대표",54738,55.84,1
"강원특별자치도","홍천군횡성군영월군평창군","1","허필홍","許弼洪","남",0,1,"더불어민주당","1964-05-15",59,"강원특별자치도 홍천군 홍천읍 마지기로","정당인","강릉대학 회계학과 졸업(현 강릉원주대학교)","(전) 제4, 5대 홍천군의회 의원(전) 제5, 7기 홍천군수",49988,42.28,0
"강원특별자치도","홍천군횡성군영월군평창군","2","유상범","劉相凡","남",0,1,"국민의힘","1966-06-04",57,"강원특별자치도 영월군 영월읍 하송로","국회의원","서울대학교 법과대학 사법학과 졸업","(전)국민의힘 수석대변인(현)홍천군횡성군영월군평창군 국회의원",68226,57.71,1
